Sample ID,Type,Raw file name,Comment,Date.extracted,Date.injected,Column,Injection.Order,Ref.to.Use
SM-A9F5B,Study sample,0308_XAV_iHMP2_LIP_SM-A9F5B.raw,,4/7/2017,4/10/2017,1,323,PREFB16
SM-A9F5R,Study sample,0367_XAV_iHMP2_LIP_SM-A9F5R.raw,,4/10/2017,4/11/2017,1,391,PREFB19
SM-A9F6G,Study sample,0330_XAV_iHMP2_LIP_SM-A9F6G.raw,,4/10/2017,4/11/2017,1,351,PREFB17
SM-A9F71,Study sample,0408_XAV_iHMP2_LIP_SM-A9F71.raw,,4/11/2017,4/12/2017,1,441,PREFB21
SM-A9F75,Study sample,0547_XAV_iHMP2_LIP_SM-A9F75.raw,,4/12/2017,4/14/2017,1,591,PREFB28
SM-A9J97,Study sample,0169_XAV_iHMP2_LIP_SM-A9J97.raw,,4/6/2017,4/8/2017,1,178,PREFB09
SM-A9J9N,Study sample,0342_XAV_iHMP2_LIP_SM-A9J9N.raw,,4/10/2017,4/11/2017,1,365,PREFB18
SM-A9VSE,Study sample,0079_XAV_iHMP2_LIP_SM-A9VSE.raw,,4/5/2017,4/7/2017,1,85,PREFB05
SM-AADKW,Study sample,0390a_0327ri_XAV_iHMP2_LIP_SM-AADKW.raw,reinj,4/10/2017,4/11/2017,1,419,PREFB20
SM-AADL1,Study sample,0055_XAV_iHMP2_LIP_SM-AADL1.raw,,4/5/2017,4/6/2017,1,59,PREFB04
SM-AAHYA,Study sample,0513_XAV_iHMP2_LIP_SM-AAHYA.raw,,4/12/2017,4/13/2017,1,555,PREFB27
SM-AAHYE,Study sample,0216_XAV_iHMP2_LIP_SM-AAHYE.raw,,4/7/2017,4/9/2017,1,231,PREFB12
SM-ACTNE,Study sample,0502_XAV_iHMP2_LIP_SM-ACTNE.raw,,4/12/2017,4/13/2017,1,545,PREFB26
SM-ACTNU,Study sample,0211_XAV_iHMP2_LIP_SM-ACTNU.raw,,4/7/2017,4/9/2017,1,226,PREFB12
SM-ACTNY,Study sample,0067_XAV_iHMP2_LIP_SM-ACTNY.raw,,4/5/2017,4/6/2017,1,73,PREFB04
SM-ACTOF,Study sample,0032_XAV_iHMP2_LIP_SM-ACTOF.raw,,4/5/2017,4/6/2017,1,34,PREFB02
SM-ADDEW,Study sample,0501_XAV_iHMP2_LIP_SM-ADDEW.raw,,4/12/2017,4/13/2017,1,544,PREFB26
SM-ADDF5,Study sample,0298_XAV_iHMP2_LIP_SM-ADDF5.raw,,4/7/2017,4/10/2017,1,313,PREFB16
SM-ADICO,Study sample,0232_XAV_iHMP2_LIP_SM-ADICO.raw,,4/7/2017,4/9/2017,1,249,PREFB12
SM-ADID5,Study sample,0312_XAV_iHMP2_LIP_SM-ADID5.raw,,4/10/2017,4/10/2017,1,336,PREFB17
