Sample ID,Type,Raw file name,Comment,Date.extracted,Date.injected,Column,Injection.Order,Ref.to.Use
SM-9P5FG,Study sample,0427_XAV_iHMP2_CMH_SM-9P5FG.raw,,3/8/2017,3/11/2017,2,477,
SM-9P5FO,Study sample,0213_XAV_iHMP2_CMH_SM-9P5FO.raw,,3/2/2017,3/5/2017,1,237,
SM-9P5FW,Study sample,0170_XAV_iHMP2_CMH_SM-9P5FW.raw,,3/1/2017,3/4/2017,1,190,
SM-9PJ16,Study sample,0076_XAV_iHMP2_CMH_SM-9PJ16.raw,,2/28/2017,3/2/2017,1,84,
SM-9PJ1E,Study sample,0041_XAV_iHMP2_CMH_SM-9PJ1E.raw,,2/27/2017,3/1/2017,1,47,
SM-9PJ1I,Study sample,0125_XAV_iHMP2_CMH_SM-9PJ1I.raw,,2/28/2017,3/3/2017,1,141,
SM-9PPUW,Study sample,0004_XAV_iHMP2_CMH_SM-9PPUW.raw,,2/27/2017,2/28/2017,1,6,
SM-9QMN9,Study sample,0015_XAV_iHMP2_CMH_SM-9QMN9.raw,,2/27/2017,2/28/2017,1,17,
SM-9QMND,Study sample,0289_XAV_iHMP2_CMH_SM-9QMND.raw,,3/6/2017,3/8/2017,2,323,PREFB18
SM-9QMNL,Study sample,0343_XAV_iHMP2_CMH_SM-9QMNL.raw,,3/7/2017,3/9/2017,2,383,
SM-9QMOR,Study sample,0151_XAV_iHMP2_CMH_SM-9QMOR.raw,,3/1/2017,3/3/2017,1,169,
SM-9QMQ9,Study sample,0402_XAV_iHMP2_CMH_SM-9QMQ9.raw,,3/8/2017,3/10/2017,2,450,
SM-9QVJX,Study sample,0285_XAV_iHMP2_CMH_SM-9QVJX.raw,,3/6/2017,3/8/2017,2,319,PREFB18
SM-9QVK2,Study sample,0021_XAV_iHMP2_CMH_SM-9QVK2.raw,,2/27/2017,2/28/2017,1,25,
SM-9QXOC,Study sample,0400_XAV_iHMP2_CMH_SM-9QXOC.raw,,3/8/2017,3/10/2017,2,446,
SM-9R78F,Study sample,0233_XAV_iHMP2_CMH_SM-9R78F.raw,,3/2/2017,3/5/2017,1,259,
SM-9RD3C,Study sample,0478_XAV_iHMP2_CMH_SM-9RD3C.raw,,3/9/2017,3/12/2017,2,532,
SM-9RD3K,Study sample,0185_XAV_iHMP2_CMH_SM-9RD3K.raw,,3/1/2017,3/4/2017,1,207,
SM-9RRZH,Study sample,0395_XAV_iHMP2_CMH_SM-9RRZH.raw,,3/8/2017,3/10/2017,2,441,
SM-9RRZL,Study sample,0349_XAV_iHMP2_CMH_SM-9RRZL.raw,,3/7/2017,3/9/2017,2,389,
SM-9RRZP,Study sample,0413_XAV_iHMP2_CMH_SM-9RRZP.raw,,3/8/2017,3/10/2017,2,461,
SM-9RTUR,Study sample,0114_XAV_iHMP2_CMH_SM-9RTUR.raw,,2/28/2017,3/2/2017,1,126,
SM-9RTUZ,Study sample,0326_XAV_iHMP2_CMH_SM-9RTUZ.raw,,3/6/2017,3/9/2017,2,364,
